instance,runtime_seconds,runtime_minutes,simulated_annealing_cost
testInstance,24.14,0.40,8260080701
challenge_r500d25_1,339.77,5.66,1714828606
challenge_r500d25_3,566.74,9.45,378984131
challenge_r500d25_2,600.92,10.02,3503536129
challenge_r100d10_5,1033.03,17.22,73234428003
challenge_r100d10_4,893.54,14.89,1281676335
challenge_r100d10_3,525.02,8.75,117783078
challenge_r100d10_2,1148.17,19.14,1647943574
challenge_r100d10_1,842.76,14.05,2893837618
challenge_r300d20_3,550.66,9.18,235168338
challenge_r300d20_2,688.95,11.48,2718602883
challenge_r300d20_1,579.25,9.65,3286744278
B2,467.36,7.79,400042457
challenge_r300d20_5,574.50,9.57,233648884005
challenge_r300d20_4,836.99,13.95,3212076370
B3,799.32,13.32,1147258305
B1,748.87,12.48,73794559005
challenge_r200d15_4,333.57,5.56,610487586
challenge_r200d15_3,844.05,14.07,185836142
challenge_r200d15_2,869.56,14.49,1875799341
challenge_r200d15_1,956.12,15.94,2404467222
TOTAL,14223.29,237.05,416553024107
